"","lakeID","mean.popDensity","sd.popDensity"
"1","AR",26.6913365235325,6.2057689921308
"2","BA",12.5874113641565,3.17917285279048
"3","FD",4.42031014056261,1.24997148980595
"4","HT",17.0358701854684,5.43052312537523
"5","JS",22.19718307994,4.35220426812191
"6","LC",3.67110973372041,1.23527996025312
"7","LH",4.96593164924196,1.4749188612686
"8","LR",4.46902124762837,1.28924803830369
"9","LT",1.15414512890062,0.427415011182549
"10","TO",17.4210722451187,3.95687431601836
"11","WB",23.3809637095322,7.73883390424198
"12","WC",2.08529443824864,0.702728167661399
"13","WS",13.457264364738,4.18821168550939
