"","lakeID","sumCtMt","sumRt","surfaceArea"
"1","AR",19434,11,38.8
"2","BA",13001,8,67.33
"3","FD",7675,6,136
"4","HT",10772,1,70.8
"5","JS",18658,17,34.4
"6","LC",1801,2,62
"7","LH",1370,6,24.6
"8","LR",4611,5,90.2
"9","LT",1673,1,218.1
"10","TO",18306,11,56.3
"11","WB",9352,1,45.7
"12","WC",2159,3,118.6
"13","WS",2654,3,21
