"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_q_d[6]",0.177872001947209,0.0119877856179995,1.12123034094178,-2.0849975134679,-0.505605771071967,0.186688931214547,0.868505447624672,2.42879263296015,8748.05988750704,0.999770659604026
"log_q_d[7]",-0.168645516195401,0.0119466052769178,1.12856327194325,-2.46951445045714,-0.864814395971386,-0.168270629355499,0.531647038199149,2.08877489035886,8924.06645604126,0.999783166778448
"log_q_d[8]",0.308692007274354,0.0120198066563656,1.11274704260154,-1.95905709078084,-0.366284789463263,0.315759708490695,0.98996367858835,2.53428127465382,8570.33767393027,0.999765589455461
"log_q_d[9]",-0.214390608063178,0.0120024037339607,1.12402392393961,-2.52504134052036,-0.893897538882608,-0.213416521075153,0.497908299692223,2.04486600817983,8770.30399620034,0.999938728271473
"log_q_d[10]",-0.141981768651093,0.012057417753612,1.12837293861536,-2.44944755560888,-0.833595741276178,-0.143857242765541,0.575012926912025,2.10187375559065,8757.83397297593,0.999865513895433
"log_q_d[11]",0.117951721342638,0.0119958592706735,1.12376036351293,-2.14821561039845,-0.564149224862907,0.114238190843209,0.818930440111101,2.34600978559076,8775.75914704865,0.999872310487981
"log_q_d[12]",-0.429640999564646,0.0119757335543849,1.14607865857417,-2.76939669811844,-1.1367409308317,-0.416887141888467,0.269120035357065,1.88270178387425,9158.5053017912,0.999865416779095
"log_q_d[13]",-0.719737655887648,0.011757598232871,1.11046515137619,-2.95472159909056,-1.38749413917522,-0.714548897356391,-0.0435724505722723,1.4905560377607,8920.15983570951,0.999823407620631
"log_q_d[14]",-0.174844409768379,0.0117751816993832,1.10156229818503,-2.41473911907931,-0.837485064140492,-0.181416200172859,0.509438339967764,2.02830789552772,8751.50796191504,0.999850457620913
"log_q_d[15]",-0.28632384799616,0.0118238576151308,1.12280978739571,-2.54486773798511,-0.964922723119111,-0.279372072944195,0.398643909855165,1.93675098634065,9017.66290988478,0.99986239553135
"log_q_d[16]",1.19846135482668,0.0117647214381217,1.09822954674775,-1.02588966579078,0.536493812841853,1.20639765141507,1.86411631576523,3.38145334129845,8714.1082480459,0.999861534924871
"log_q_d[17]",0.0688307986686723,0.0117498492606319,1.10273531867076,-2.18035640283731,-0.592688023067027,0.0703809858666894,0.726854736589927,2.27605606921865,8808.0136469529,0.999857414289933
"log_q_d[18]",-0.189306950066004,0.0120388351646475,1.15262687374924,-2.5514579027938,-0.908236193636861,-0.191735403625879,0.546905922195743,2.118359557722,9166.60559712715,0.999825858035328
"log_q_d[19]",-0.4790590228153,0.0122342931041512,1.17144028178786,-2.85991084158551,-1.18787510259581,-0.462242841348346,0.253234210731749,1.84454942936309,9168.16764066452,1.00005381509434
"log_q_d[20]",-0.0935255296428262,0.0120667220839652,1.15352624133911,-2.43934250345931,-0.80869831752788,-0.0884129405289292,0.632315020563393,2.20979247574584,9138.52988896836,0.999814271964501
"log_q_d[21]",-0.555528073132008,0.0121120152058173,1.1547589851905,-2.89208132388123,-1.25679867295203,-0.546034754328211,0.17243756596861,1.70733050888729,9089.70702740842,0.999883335518804
"log_q_d[22]",-0.277303917585592,0.0117285366357877,1.12036523430569,-2.56316162955692,-0.946979192446555,-0.277096110147422,0.415434697608707,1.91252155411713,9124.97304592239,0.999745253901
"log_q_d[23]",-0.154847023443479,0.0119224994570642,1.12716602656821,-2.47725919774408,-0.847255690854206,-0.14129069921936,0.53381082563501,2.07187742620679,8938.01662587224,0.999933968246143
"log_q_d[24]",0.364098699192394,0.0121958470277936,1.13431272690258,-1.95648756369739,-0.330796491252932,0.370603164665682,1.064543189046,2.64487895620498,8650.50921210645,0.999831219068585
"log_q_d[25]",-0.194755273483223,0.0117674239979359,1.09732939646981,-2.42895359419767,-0.854215455495787,-0.196273928599792,0.485438039737603,2.01995477443212,8695.83365453582,0.999753753234285
"log_q_d[26]",-0.450538644707298,0.012316105322425,1.18863271865633,-2.84661126439419,-1.19459252458394,-0.427548630028582,0.302182835057783,1.91557397150273,9314.26463566363,0.999894174515475
"log_q_d[27]",-0.41115418504554,0.0122974725840963,1.18216093291497,-2.80913215605344,-1.14001072117282,-0.400018147713622,0.331140628513478,1.91995082091208,9241.05340418725,1.00002781894052
"log_q_d[28]",0.95947704596678,0.0120060467662477,1.12158090604654,-1.26139937533362,0.27412922084679,0.951497437234058,1.66493813949069,3.21847662496315,8726.92317898441,0.999787223097044
"log_q_d[29]",0.345692428031404,0.0116407265408616,1.08240369426606,-1.87035879998955,-0.308899497363165,0.352690009807958,1.0032875644024,2.49760575632246,8646.06223956152,0.999770307700421
"log_q_d[30]",0.538380927408972,0.011877007885035,1.11625719009787,-1.7380326001405,-0.155083149247388,0.54733744241604,1.21804836215644,2.7775138288819,8833.1264790685,0.999766217528958
"log_q_d[31]",-0.343120407536759,0.012214189744902,1.14890776264616,-2.65954239072091,-1.05400538843165,-0.34519045147188,0.37466088316675,1.95738626139345,8847.91624224396,0.999842392176059
"log_q_d[32]",-0.222132215171669,0.0118517492555079,1.1171064285672,-2.50303485739688,-0.902233710674923,-0.216647064415087,0.468615462655019,1.99967481993731,8884.31999963084,0.999810083202442
"log_q_d[33]",0.953232373291289,0.0118304822968143,1.10012855827416,-1.2860102710179,0.285474389529379,0.948670711735707,1.62244255475397,3.11949027372993,8647.32889515795,0.999731534457222
"log_q_d[34]",0.0801216766132112,0.0118410456758567,1.11163671300456,-2.20104971286991,-0.601670386271062,0.0928990345473406,0.751049069104904,2.33678750393155,8813.44401314808,0.999720037354006
"log_q_d[35]",-0.148200264198433,0.0116499281652278,1.09041853417414,-2.37392506777848,-0.799941442750521,-0.140017340881796,0.519240494950312,2.02592069309447,8760.72311434932,0.999949876999122
"log_q_d[36]",-0.414043831091159,0.0118378082781737,1.11562837754088,-2.68285648638655,-1.10271165561362,-0.401519209787616,0.283798067469529,1.79523104725741,8881.70821057861,0.999853840571713
"log_q_d[37]",0.137173252937176,0.0118799350656076,1.10204031385023,-2.10192961565699,-0.546909770020726,0.131942395362897,0.810211872930584,2.37417209250821,8605.31613802729,0.999846127332816
"log_q_d[38]",-0.126441286900716,0.0120869144844691,1.15811323301639,-2.51696943312085,-0.822200548287934,-0.12120424811509,0.591809391431616,2.1654344168489,9180.60176788777,0.999737979086505
