"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta",0.923261998483705,0.00208008507300133,0.11996976429471,0.692554686188459,0.840872603537126,0.922036637111089,1.00385349382575,1.16233794392181,3326.45318898163,1.00067564571103
"phi",7.79563065849487,0.0331736330470168,2.56611750761267,4.07847907470941,5.94831770893972,7.37544568882275,9.17125263229726,13.9665806797929,5983.66135493847,0.999782326042638
"sigma_q_a",0.620405424897736,0.00272415385714107,0.143114202157961,0.387530294065017,0.519278686341016,0.604288246088123,0.704693759002519,0.945264385876773,2759.95628146784,1.00058613275125
"sigma_q_d",0.63150517217298,0.00226394669303386,0.113683694901971,0.437490862307356,0.550899020367749,0.622322377937539,0.701943263757126,0.87843800375738,2521.52900031443,1.0007163467209
"popDensity[1]",44.8579823428219,0.148930322983281,10.6009186129043,28.2179510833997,37.3523351011306,43.3130596253718,50.9571800549029,69.3622725726284,5066.64805449916,1.00006646021997
"popDensity[2]",58.6656934325084,0.259837959344211,19.055972244825,29.9807732677763,45.391109589993,55.6728661120974,68.676336361123,104.322736929632,5378.44868632918,0.999953452290394
"popDensity[3]",20.3857418216243,0.101361083941691,6.61909120632321,10.2975980610183,15.7018973556914,19.4658316746801,23.9442523335905,35.8849684106392,4264.3637060425,1.00043952485943
"popDensity[4]",70.1800024492614,0.441761820303585,27.7673318096043,33.7963911934473,51.3931394944002,64.6927057611069,82.7218576656705,138.355368535906,3950.86274446393,1.00091738518278
"popDensity[5]",31.4065152378999,0.0762775238652231,6.1047450491624,21.5556652153413,27.1071100289639,30.6622840104914,34.9092213895208,45.4210300711402,6405.33561081126,0.999973569584953
"popDensity[6]",10.2467056360817,0.0572645664642873,4.29163372408449,4.49893864397998,7.28155056314456,9.4170967552055,12.3260658426257,20.6468627724377,5616.59804499228,1.00007897433385
"popDensity[7]",12.3736297141654,0.0511920812912405,4.12589511639939,6.21551715186436,9.45695296816588,11.7272646513886,14.5744713423193,22.4214799859368,6495.77231163977,1.00027950781729
"popDensity[8]",15.0024070105229,0.0696521578724338,4.7865368424242,7.52381265430519,11.5006451165041,14.3358713470851,17.8498033227549,25.767623950464,4722.51842174342,0.999804286541181
"popDensity[9]",24.0933964411355,0.151805395081445,8.67482187586335,10.6534243501145,18.0172956124702,23.0195233480415,28.8341306244499,44.4565486975715,3265.477676075,0.999560534876297
"popDensity[10]",32.8365809581091,0.111873878497782,7.71280528962946,20.5678248939939,27.391765804187,31.7870800687854,37.2024837650012,50.3809423429043,4752.99487554423,1.00001405857299
"popDensity[11]",128.145519293231,0.861407972825813,52.8384888196827,63.3592197167043,93.30660187487,116.468442980585,150.064570916643,261.27833999131,3762.55625948718,1.00006670998346
"popDensity[12]",5.60771605708914,0.0257191530566463,2.16964895975161,2.51302960260072,4.06200611589858,5.195297458505,6.74140886284254,10.9157966616367,7116.48632259006,1.00003890298577
"popDensity[13]",38.4093184348712,0.197883498136212,11.1548423737102,22.4335912777047,30.8054703110762,36.3892801313029,43.7592912538011,65.3341601260776,3177.66212280879,1.00132260329404
